signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-05-31T09:06:00.000000,31.197875,123.14531333333,2,0,0,1,0,0
2024-05-31T09:07:00.000000,31.197905,123.145245,2,0,0,1,0,0
2024-05-31T09:08:00.000000,31.19791,123.145245,2,0,0,1,0,0
2024-05-31T09:09:00.000000,31.197898333333,123.145295,2,0,0,1,0,0
2024-05-31T09:10:00.000000,31.19789,123.145305,2,0,0,1,0,0
2024-05-31T09:11:00.000000,31.197883333333,123.14531666667,2,0,0,1,0,0
2024-05-31T09:12:00.000000,31.197855,123.14535166667,2,0,0,1,0,0
2024-05-31T09:13:00.000000,31.197853333333,123.145355,2,0,0,1,0,0
2024-05-31T09:14:00.000000,31.19783,123.14535666667,2,0,0,1,0,0
2024-05-31T09:15:00.000000,31.19784,123.14534333333,2,0,0,1,0,0
2024-05-31T09:16:00.000000,31.197845,123.145345,2,0,0,1,0,0
2024-05-31T09:17:00.000000,31.197836666667,123.145365,2,0,0,1,0,0
2024-05-31T09:18:00.000000,31.197805,123.14536166667,2,0,0,1,0,0
2024-05-31T09:19:00.000000,31.197801666667,123.14536,2,0,0,1,0,0
2024-05-31T09:20:00.000000,31.197815,123.14536333333,2,0,0,1,0,0
2024-05-31T09:21:00.000000,31.197781666667,123.14540833333,2,0,0,1,0,0
2024-05-31T09:22:00.000000,31.197763333333,123.14539,2,0,0,1,0,0
2024-05-31T09:23:00.000000,31.197778333333,123.14536333333,2,0,0,1,0,0
2024-05-31T09:24:00.000000,31.197791666667,123.14536666667,2,0,0,1,0,0
2024-05-31T09:25:00.000000,31.197758333333,123.14539166667,2,0,0,1,0,0
2024-05-31T09:26:00.000000,31.197735,123.14541,2,0,0,1,0,0
2024-05-31T09:27:00.000000,31.19773,123.14541833333,2,0,0,1,0,0
2024-05-31T09:28:00.000000,31.19778,123.14539,2,0,0,1,0,0
2024-05-31T09:29:00.000000,31.197726666667,123.14542666667,2,0,0,1,0,0
2024-05-31T09:30:00.000000,31.197726666667,123.14548,2,0,0,1,0,0
2024-05-31T09:31:00.000000,31.197735,123.14546,2,0,0,1,0,0
2024-05-31T09:32:00.000000,31.197741666667,123.145465,2,0,0,1,0,0
2024-05-31T09:33:00.000000,31.19773,123.14547166667,2,0,0,1,0,0
2024-05-31T09:34:00.000000,31.197746666667,123.14548333333,2,0,0,1,0,0
2024-05-31T09:35:00.000000,31.197733333333,123.14549833333,2,0,0,1,0,0
2024-05-31T09:36:00.000000,31.197726666667,123.145525,2,0,0,1,0,0
2024-05-31T09:37:00.000000,31.197708333333,123.145535,2,0,0,1,0,0
2024-05-31T09:38:00.000000,31.19772,123.145535,2,0,0,1,0,0
2024-05-31T09:39:00.000000,31.19772,123.14553333333,2,0,0,1,0,0
2024-05-31T09:40:00.000000,31.19772,123.14554,2,0,0,1,0,0
2024-05-31T09:41:00.000000,31.19769,123.14558666667,2,0,0,1,0,0
2024-05-31T09:42:00.000000,31.197663333333,123.145605,2,0,0,1,0,0
2024-05-31T09:43:00.000000,31.197628333333,123.14560666667,2,0,0,1,0,0
2024-05-31T09:44:00.000000,31.197601666667,123.14562,2,0,0,1,0,0
2024-05-31T09:45:00.000000,31.197608333333,123.14561666667,2,0,0,1,0,0
2024-05-31T09:46:00.000000,31.197606666667,123.14559833333,2,0,0,1,0,0
2024-05-31T09:47:00.000000,31.197575,123.14561833333,2,0,0,1,0,0
2024-05-31T09:48:00.000000,31.197566666667,123.14560333333,2,0,0,1,0,0
2024-05-31T09:49:00.000000,31.197541666667,123.14562833333,2,0,0,1,0,0
2024-05-31T09:50:00.000000,31.197505,123.14559833333,2,0,0,1,0,0
2024-05-31T09:51:00.000000,31.19751,123.14556333333,2,0,0,1,0,0
2024-05-31T09:52:00.000000,31.197496666667,123.14557166667,2,0,0,1,0,0
2024-05-31T09:53:00.000000,31.197465,123.14560666667,2,0,0,1,0,0
2024-05-31T09:54:00.000000,31.197481666667,123.14559833333,2,0,0,1,0,0
2024-05-31T09:55:00.000000,31.197481666667,123.145605,2,0,0,1,0,0
2024-05-31T09:56:00.000000,31.197488333333,123.14565166667,2,0,0,1,0,0
2024-05-31T09:57:00.000000,31.197465,123.14565666667,2,0,0,1,0,0
2024-05-31T09:58:00.000000,31.19747,123.14568166667,2,0,0,1,0,0
2024-05-31T09:59:00.000000,31.197493333333,123.14570666667,2,0,0,1,0,0
2024-05-31T10:00:00.000000,31.197488333333,123.14571,2,0,0,1,0,0
2024-05-31T10:01:00.000000,31.19744,123.14571833333,2,0,0,1,0,0
2024-05-31T10:02:00.000000,31.197456666667,123.14571666667,2,0,0,1,0,0
2024-05-31T10:03:00.000000,31.197455,123.14571666667,2,0,0,1,0,0
2024-05-31T10:04:00.000000,31.19744,123.14572166667,2,0,0,1,0,0
2024-05-31T10:05:00.000000,31.197421666667,123.14570666667,2,0,0,1,0,0
2024-05-31T10:06:00.000000,31.197458333333,123.14568666667,2,0,0,1,0,0
2024-05-31T10:07:00.000000,31.19748,123.14566333333,2,0,0,1,0,0
2024-05-31T10:08:00.000000,31.197468333333,123.14564833333,2,0,0,1,0,0
