LOCODE,LAT,LON
ESVLC,39.47,-0.37
CAVAN,49.25,-123.125
BGVAR,43.216666,27.916666
SCPOV,-4.6093,55.4375
ESVGO,42.23413,-8.71136
BRVLC,-1.53838,-48.72982
BRVIX,-20.19,-40.22
NAWVB,-22.944,14.506
NZWLG,-41.2968,174.7812
ANWIL,12.1,-68.91667
USILM,34.2256,-77.945
CNXMN,24.45,118.08
CNTXG,38.562,117.56
CNYTN,22.58333,114.26667
JPYOK,35.45,139.55
ARZAE,-34.09,-59.035
BEZEE,51.3281,3.1875
NOAES,62.49,6.5
DKAAR,56.15,10.216666
PAPCN,8.9531,-79.5312
REREU,-20.883333,55.533333
MXACA,-99.52,16.51
ESLEI,-2.27,36.5
CLANF,-70.23,-23.38
ITATX,9.42,39.56
CANWP,-54.0,47.18
ERASA,42.44,13.0
CKAVA,-159.46,-21.11
PTAVE,-8.39,40.38
BRBEL,-48.3,-1.27
CUCAI,-79.28,22.31
HTCAP,-72.12,19.45
JPCHW,127.55,26.23
CRCLN,-84.15,9.55
CADAR,-63.34,44.4
CAFAH,-64.1,45.0
ESGIJ,-5.4,43.32
AUHAL,146.17,-18.35
AUHBA,147.18,-42.52
GRNAI,22.43,35.2
ESZGM,-3.26,36.48
ARMDQ,-57.33,-38.0
FRETN,7.3,43.47
ITNAP,14.15,40.5
BSNAS,-77.21,25.05
GBPLY,-4.07,50.24
PTPDL,-25.4,37.44
USNTD,-119.11,34.08
CVGRA,-25.0,16.52
CLPUQ,-70.56,-53.08
AURDS,151.05,-33.5
ARSFO,-62.04,-31.25
CLSDO,-71.39,-33.38
BESGS,5.21,50.36
USSJ4,-84.33,43.0
FRSNG,4.36,44.12
MXTAM,-97.52,22.15
FOTOR,-64.6,62.1
BRTRM,-50.08,-29.58
INTUT,78.08,8.47
DEWVN,8.08,53.31
