LOCODE,LAT,LON
CNWZO,28.0167,120.65
CNWHU,21.45,110.75
CNNHN,30.5833,114.2833
CNWHI,31.3167,118.3667
CNWUK,22.85,115.65
CNWXS,31.5667,120.3
CNWUZ,23.4833,111.3333
CNFQX,25.7,119.3833
CNXAM,24.45,118.1
CNXMG,24.35,118.2
CNXIA,34.2833,108.95
CNXTA,27.85,112.9
CNXZI,24.7667,118.7667
CNXTN,29.3333,104.8833
CNXCU,25.2,119.95
CNXAO,22.6667,113.2167
CNXOT,23.0833,112.9833
CNXIJ,21.2833,114.8667
CNLSX,18.5,110.0167
CNXGA,23.0333,113.1
CNXIN,22.5333,113.0167
CNXNA,22.9833,113.5333
CNXIT,23.1167,113.6167
CNING,32.1333,114.05
CNXYI,19.7333,109.2833
CNXTO,21.65,111.7833
CNXYG,25.2333,118.95
CNXUK,49.55,128.4667
CNYJI,21.8333,111.9667
CNYKG,32.55,121.4
CNYPG,19.7,109.2
CNYNG,32.2167,119.8167
CNYZH,32.3833,119.4333
CNYAT,37.4635299,121.44801
CNYTG,37.55,121.4167
CNYTN,26.85,119.8667
CNYIK,40.65,122.2167
CNLJY,21.6167,110.2833
CNYIZ,32.2667,119.1667
CNYFU,24.9833,109.9833
CNYYA,29.3667,113.1
CNYUH,28.1333,121.2333
CNYZU,23.1,113.4167
CNZJB,22.55,113.45
CNZJG,31.8667,120.5333
CNZGS,34.1167,118.3167
CNZGW,26.7,119.5833
CNZZU,24.5167,117.65
CNZNG,21.0833,110.5
CNZDO,46.0667,125.9833
CNZHG,32.55,116.6333
CNZQG,23.05,112.45
CNZPO,21.5667,111.85
CNZPU,30.5833,121.0833
CNZEL,23.5833,117.1
CNZPG,31.6333,118.3833
CNZHE,32.1833,119.45
CNZSN,22.5167,113.3667
CNZGT,23.0833,113.65
CNZHH,39.6833,122.9667
CNZUH,22.2833,113.5667
CNZLO,23.3667,113.3333
CNTAO,36.05,120.3333333
CNXMN,24.45,118.0333333
CNTSN,39.1,117.1666667
CNDLC,38.91666667,121.6666667
CNHUA,23.0566,113.5281
CNFOC,26.05,119.3
CNASW,36.35,120.667
CNBAO,31.2131001,121.5063355
CNBAY,40.230636,122.107814
CNBEI,29.933,121.883
CNBEN,41.28333,123.75
CNCAN,23.12911,113.264385
CNCDE,29.01667,111.66667
CNCGU,31.7666,120.95
CNCIV,22.267,113.067
CNCMG,31.63333,121.38333
CNDAG,38.926984,121.654095
CNDCD,28.45,121.8666667
CNDDG,40.000787,124.354451
CNDFE,32.48333,120.0
CNDGY,37.45,118.48333
CNDJA,35.6,119.767
CNDLP,38.9,121.6
CNDOO,33.63333,108.63333
CNDOP,23.25,115.017
CNDQD,36.067117,120.382612
CNDSN,23.701262,117.430061
CNDXG,38.8828623,121.5278118
CNFCE,36.7,121.23333
CNFOS,23.03333,113.1
CNFZP,25.974642,119.509221
CNGAS,23.28333,115.66667
CNGTE,24.18333,113.4
CNGUT,22.567,114.433
CNGZG,23.114346,113.281455
CNGZP,23.1576366,113.4110535
CNHAP,31.231763,121.484443
CNHAS,23.810227,108.8868
CNHHA,38.36667,117.35
CNHHT,27.1,120.3
CNHMP,31.8195372,121.1249149
CNHOP,23.1,113.41667
CNHSK,30.007232,115.336359
CNHXD,30.199378,122.644701
CNJXN,22.705124,113.316811
CNLZU,28.88333,105.45
CNMAJ,30.017,122.1
CNMBI,23.117,115.083
CNMOG,23.05,112.733
CNMSH,41.304958,123.776572
CNMSN,30.07544,103.848538
