LOCODE,LAT,LON
ESAGU,37.4,-1.5833333333333335
ESCAR,37.6,-0.9833333333333333
ESTOR,37.966666666667,-0.68333333333333
ESALC,38.333333333333,-0.48333333333333
ESGAN,38.96666666666667,-0.18333333333333332
ESVLC,39.45,-0.31666666666667
ESSAG,39.68333333333333,-0.26666666666666666
ESBRX,39.883333333333,-0.05
ESGRY,39.966666666667,0.016666666666667
ESTAR,41.1,1.2333333333333
ESVLG,41.21666666666667,1.7333333333333334
ESBCN,41.35,2.1666666666667
ESSFU,41.78333333333333,3.033333333333333
ESPAL,41.85,3.1333333333333333
ESROS,42.266666666667,3.1833333333333
ESIBZ,38.9,1.4333333333333333
ESPMI,39.56666666666667,2.6333333333333333
ESALD,39.833333333333,3.1333333333333
ESMAH,39.88333333333333,4.25
FRPOV,42.516666666666666,3.1166666666666667
FRNOU,43.016666666666666,3.05
FRSET,43.4,3.7
FRPSL,43.38333333333333,4.8
FRPDB,43.4,4.983333333333333
FRMRS,43.3,5.4
FRTLN,43.11666666666667,5.933333333333334
FRSTP,43.266666666666666,6.633333333333333
FRSRL,43.416666666666664,6.766666666666667
FRCEQ,43.55,7.016666666666667
FRANT,43.583333333333336,7.116666666666666
FRNCE,43.7,7.266666666666667
FRVHF,43.7,7.316666666666699
FRBIA,42.7,9.45
FRPVO,41.583333333333336,9.283333333333333
FRBON,41.38333333333333,9.166666666666666
FRPRP,41.68333333333333,8.9
FRAJA,41.93333333333333,8.733333333333333
FRCLY,42.56666666666667,8.75
FRILR,42.63333333333333,8.933333333333334
ITMDA,41.21666666666667,9.4
ITOLB,40.916666666666664,9.516666666666667
ITATX,39.93333333333333,9.7
ITCAG,39.21666666666667,9.116666666666667
ITPFX,39.05,9
ITCLF,39.15,8.3
ITPVE,39.2,8.383333333333333
ITPTO,40.833333333333,8.4
ITSRE,43.816666666667,7.7833333333333
ITIMP,43.88333333333333,8.05
ITSVN,44.28333333333333,8.5
ITQOS,39.9,8.6
ITGOA,44.416666666666664,8.95
ITSPE,44.11666666666667,9.833333333333334
ITMDC,44.033333333333,10.033333333333
ITLIV,43.55,10.316666666666666
ITVDA,43.35,10.45
ITPFE,42.816666666667,10.333333333333
ITPSS,42.433333333333,11.116666666667
ITCVV,42.1,11.8
ITFCO,41.766666666666666,12.233333333333333
ITANZ,41.45,12.616666666666667
ITGAE,41.2,13.583333333333334
ITPOZ,40.816666666667,14.116666666667
ITBLN,40.8,14.166666666666666
ITNAP,40.833333333333336,14.25
ITTOA,40.75,14.45
ITCAS,40.7,14.483333333333333
ITSAL,40.666666666667,14.75
ITVVA,38.716666666667,16.133333333333
ITREG,38.1,15.65
ITMSN,38.2,15.566666666667
ITMLZ,38.216666666667,15.25
ITGIT,38.416666666666664,15.9
ITTRI,37.983333333333334,13.7
ITPMO,38.11666666666667,13.366666666666667
ITTPS,38.016666666666666,12.483333333333333
ITMRA,37.8,12.433333333333334
ITMAZ,37.65,12.583333333333334
ITPEM,37.283333333333,13.533333333333
ITLIC,37.1,13.933333333333334
ITGEA,37.06666666666667,14.25
ITPZL,36.71666666666667,14.85
ITSIR,37.05,15.283333333333
ITMEL,37.116666666667,15.25
ITAUG,37.21666666666667,15.216666666666667
ITCTA,37.5,15.1
ITLIP,38.45,14.95
MTMLA,35.88333333333333,14.5
MTMAR,35.833333333333336,14.533333333333333
ITCRV,39.083333333333336,17.133333333333333
ITTAR,40.483333333333334,17.233333333333334
ITGAL,40.05,17.983333333333334
ITOTO,40.15,18.5
ITBDS,40.63333333333333,17.933333333333334
ITTDG,40.783333333333,14.366666666667
ITMNP,40.95,17.3
ITBRI,41.13333333333333,16.85
ITMOL,41.216666666667,16.6
ITBLT,41.31666666666667,16.283333333333335
ITMFR,41.63333333333333,15.916666666666666
