signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-09-12T10:05:00.000000,36.340592666667,18.996091166667,4,0,0,0,0,1
2024-09-12T10:06:00.000000,36.3406505,18.991424666667,4,0,0,0,0,1
2024-09-12T10:07:00.000000,36.340676833333,18.986724666667,4,0,0,0,0,1
2024-09-12T10:08:00.000000,36.340779,18.9820725,4,0,0,0,0,1
2024-09-12T10:09:00.000000,36.340830166667,18.977415166667,4,0,0,0,0,1
2024-09-12T10:10:00.000000,36.340857666667,18.972757166667,4,0,0,0,0,1
2024-09-12T10:11:00.000000,36.340890333333,18.968104333333,4,0,0,0,0,1
2024-09-12T10:12:00.000000,36.340936333333,18.963446166667,4,0,0,0,0,1
2024-09-12T10:13:00.000000,36.340997666667,18.958786,4,0,0,0,0,1
2024-09-12T10:14:00.000000,36.341018666667,18.954120666667,4,0,0,0,0,1
2024-09-12T10:15:00.000000,36.341030166667,18.949443,4,0,0,0,0,1
2024-09-12T10:16:00.000000,36.341082333333,18.944755166667,4,0,0,0,0,1
2024-09-12T10:17:00.000000,36.3411045,18.940064333333,4,0,0,0,0,1
2024-09-12T10:18:00.000000,36.3410895,18.935358166667,4,0,0,0,0,1
2024-09-12T10:19:00.000000,36.341092,18.930644666667,4,0,0,0,0,1
2024-09-12T10:20:00.000000,36.341093166667,18.9259495,4,0,0,0,0,1
2024-09-12T10:21:00.000000,36.341101666667,18.921267166667,4,0,0,0,0,1
2024-09-12T10:22:00.000000,36.3411405,18.916613333333,4,0,0,0,0,1
2024-09-12T10:23:00.000000,36.341132166667,18.911938166667,4,0,0,0,0,1
2024-09-12T10:24:00.000000,36.341150666667,18.907254666667,4,0,0,0,0,1
2024-09-12T10:25:00.000000,36.341154,18.902551666667,4,0,0,0,0,1
2024-09-12T10:26:00.000000,36.341142,18.897841833333,4,0,0,0,0,1
2024-09-12T10:27:00.000000,36.341193333333,18.893172,4,0,0,0,0,1
2024-09-12T10:28:00.000000,36.341202833333,18.888501,4,0,0,0,0,1
2024-09-12T10:29:00.000000,36.341213666667,18.883814833333,4,0,0,0,0,1
2024-09-12T10:30:00.000000,36.341246333333,18.879149,4,0,0,0,0,1
2024-09-12T10:31:00.000000,36.3412755,18.8744685,4,0,0,0,0,1
2024-09-12T10:32:00.000000,36.341370333333,18.869829166667,4,0,0,0,0,1
2024-09-12T10:33:00.000000,36.341428,18.865200166667,4,0,0,0,0,1
2024-09-12T10:34:00.000000,36.341498833333,18.8605845,4,0,0,0,0,1
2024-09-12T10:35:00.000000,36.341539,18.8559525,4,0,0,0,0,1
